ISIN,Cap,Bewertungstag,Emittent,Brief,Geld
DE000PZ47854,10700.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,105.96,105.95
DE000PZ47847,10650.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,105.51,105.5
DE000PZ47839,10550.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,104.6,104.59
DE000PZ47821,10450.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,103.7,103.69
DE000PZ47813,10350.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,102.77,102.76
DE000PZ47805,10300.0,2020-05-15,BNP Paribas Emissions- und Handelsges.,102.31,102.3
DE000PZ477Z0,9200.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,91.91,91.9
DE000PZ477Y3,9150.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,91.42,91.41
DE000PZ477X5,9850.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,98.28,98.27
DE000PZ477W7,9800.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,97.8,97.79
DE000PZ477V9,9750.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,97.32,97.31
DE000PZ477U1,9700.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,96.83,96.82
DE000PZ477T3,9650.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,96.35,96.34
DE000PZ477S5,9600.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,95.86,95.85
DE000PZ477R7,9550.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,95.38,95.37
DE000PZ477Q9,9500.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,94.89,94.88
DE000PZ477P1,9450.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,94.4,94.39
DE000PZ477N6,9400.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,93.92,93.91
DE000PZ477M8,9350.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,93.43,93.42
DE000PZ477L0,9300.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,92.94,92.93
DE000PZ477K2,9250.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,92.45,92.44
DE000PZ477J4,9200.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,91.96,91.95
DE000PZ477H8,9150.0,2020-03-20,BNP Paribas Emissions- und Handelsges.,91.47,91.46
DE000PZ477G0,9850.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,98.39,98.38
DE000PZ477F2,9800.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,97.9,97.89
DE000PZ477E5,9750.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,97.41,97.4
DE000PZ477D7,9700.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,96.92,96.91
DE000PZ477C9,9650.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,96.43,96.42
DE000PZ477B1,9600.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,95.95,95.94
DE000PZ477A3,9550.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,95.46,95.45
DE000PZ47797,9700.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,96.75,96.74
DE000PZ47789,9650.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,96.27,96.26
DE000PZ47771,9600.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,95.79,95.78
DE000PZ47763,9550.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,95.31,95.3
DE000PZ47755,9500.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,94.82,94.81
DE000PZ47748,9450.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,94.34,94.33
DE000PZ47730,9400.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,93.85,93.84
DE000PZ47722,9350.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,93.37,93.36
DE000PZ47714,9300.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,92.88,92.87
DE000PZ47706,9250.0,2020-04-17,BNP Paribas Emissions- und Handelsges.,92.4,92.39
DE000PZ476Z2,9750.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,97.5,97.49
DE000PZ476Y5,9700.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,97.0,96.99
DE000PZ476X7,9650.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,96.5,96.49
DE000PZ476W9,9600.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,96.0,95.99
DE000PZ476V1,9550.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,95.5,95.49
DE000PZ476U3,9500.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,95.0,94.99
DE000PZ476T5,9450.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,94.5,94.49
DE000PZ476S7,9400.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,94.0,93.99
DE000PZ476R9,9350.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,93.5,93.49
