,Datum,Einstiegskosten,Ausstiegskosten,Portfolio Transaktionskosten,Sonstige laufende Kosten,ISIN
6371,10.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EH8
6372,04.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EH8
6373,03.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EH8
6374,26.09.2019,"0,02%",-,-,"0,00%",DE000DGL6EJ4
6375,30.07.2019,"0,02%",-,-,"0,00%",DE000DGL6EJ4
6376,19.04.2019,"0,05%",-,-,"0,00%",DE000DGL6EJ4
6377,13.04.2019,"0,04%",-,-,"0,00%",DE000DGL6EJ4
6378,08.01.2019,"0,10%",-,-,"0,00%",DE000DGL6EJ4
6379,05.01.2019,"0,09%",-,-,"0,00%",DE000DGL6EJ4
6380,01.12.2018,"0,08%",-,-,"0,00%",DE000DGL6EJ4
6381,10.11.2018,"0,07%",-,-,"0,00%",DE000DGL6EJ4
6382,09.11.2018,"0,08%",-,-,"0,00%",DE000DGL6EJ4
6383,01.11.2018,"0,08%",-,-,"0,00%",DE000DGL6EJ4
6384,26.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EJ4
6385,23.10.2018,"0,09%",-,-,"0,00%",DE000DGL6EJ4
6386,20.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EJ4
6387,06.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EJ4
6388,01.09.2018,"0,07%",-,-,"0,00%",DE000DGL6EJ4
6389,03.04.2018,"0,04%",-,-,"0,00%",DE000DGL6EJ4
6390,06.02.2018,"0,04%",-,-,"0,00%",DE000DGL6EJ4
6391,21.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EJ4
6392,16.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EJ4
6393,15.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EJ4
6394,13.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EJ4
6395,10.01.2018,"0,05%",-,-,"0,00%",DE000DGL6EJ4
6396,04.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EJ4
6397,03.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EJ4
6398,26.09.2019,"0,01%",-,-,"0,00%",DE000DGL6EK2
6399,30.07.2019,"0,02%",-,-,"0,00%",DE000DGL6EK2
6400,30.04.2019,"0,04%",-,-,"0,00%",DE000DGL6EK2
6401,05.04.2019,"0,04%",-,-,"0,00%",DE000DGL6EK2
6402,08.01.2019,"0,10%",-,-,"0,00%",DE000DGL6EK2
6403,28.12.2018,"0,07%",-,-,"0,00%",DE000DGL6EK2
6404,01.12.2018,"0,08%",-,-,"0,00%",DE000DGL6EK2
6405,10.11.2018,"0,07%",-,-,"0,00%",DE000DGL6EK2
6406,09.11.2018,"0,08%",-,-,"0,00%",DE000DGL6EK2
6407,01.11.2018,"0,08%",-,-,"0,00%",DE000DGL6EK2
6408,26.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EK2
6409,23.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EK2
6410,20.10.2018,"0,08%",-,-,"0,00%",DE000DGL6EK2
6411,06.10.2018,"0,07%",-,-,"0,00%",DE000DGL6EK2
6412,01.09.2018,"0,07%",-,-,"0,00%",DE000DGL6EK2
6413,03.04.2018,"0,04%",-,-,"0,00%",DE000DGL6EK2
6414,06.02.2018,"0,04%",-,-,"0,00%",DE000DGL6EK2
6415,19.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EK2
6416,16.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EK2
6417,15.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EK2
6418,13.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EK2
6419,10.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EK2
6420,04.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EK2
6421,03.01.2018,"0,06%",-,-,"0,00%",DE000DGL6EK2
6422,26.09.2019,"0,01%",-,-,"0,00%",DE000DGL6EL0
6423,30.07.2019,"0,02%",-,-,"0,00%",DE000DGL6EL0
6424,14.05.2019,"0,04%",-,-,"0,00%",DE000DGL6EL0
6425,04.04.2019,"0,04%",-,-,"0,00%",DE000DGL6EL0
6426,08.01.2019,"0,11%",-,-,"0,00%",DE000DGL6EL0
6427,15.12.2018,"0,07%",-,-,"0,00%",DE000DGL6EL0
6428,01.12.2018,"0,08%",-,-,"0,00%",DE000DGL6EL0
6429,10.11.2018,"0,07%",-,-,"0,00%",DE000DGL6EL0
