ISIN,ausstiegskosten,bezugsverhaeltnis,einstiegskosten,erstelldatum,faelligkeitsdatum,gesamtkosten_0,mittleres_szenario_0,relative_gesamtkosten_0,risikoklasse,gesamtkosten_1,mittleres_szenario_1,relative_gesamtkosten_1,gesamtkosten_2,mittleres_szenario_2,relative_gesamtkosten_2
DE000CJ7MN12,"0,00","0,01","0,05",5. September 2019,27. März 2020,"4,57","10.032,51","0,05",1,,,,,,
DE000CJ7MN20,"0,00","0,01","0,03",17. September 2019,27. März 2020,"3,43","10.020,04","0,03",1,,,,,,
DE000CJ7MN38,"0,00","0,01","0,04",24. September 2019,27. März 2020,"4,42","10.021,04","0,04",1,,,,,,
DE000CJ7MN46,"0,00","0,01","0,04",28. September 2019,27. März 2020,"4,34","10.020,92","0,04",1,,,,,,
DE000CJ7MN53,"0,00","0,01","0,03",8. Oktober 2019,27. März 2020,"3,14","10.026,30","0,03",1,,,,,,
DE000CJ7MN61,"0,00","0,01","0,03",12. Oktober 2019,27. März 2020,"3,16","10.009,79","0,03",1,,,,,,
DE000CJ7MN79,"0,00","0,01","0,05",6. Juni 2019,27. März 2020,"5,27","10.080,65","0,05",2,,,,,,
DE000CJ7MN87,"0,00","0,01","0,04",18. Juni 2019,27. März 2020,"4,22","10.064,94","0,04",2,,,,,,
DE000CJ7MN95,"0,00","0,01","0,04",22. Juni 2019,27. März 2020,"4,18","10.048,36","0,04",2,,,,,,
DE000CJ7MNA9,"0,00","0,01","0,06",9. April 2019,27. März 2020,"5,78","10.015,61","0,06",1,,,,,,
DE000CJ7MNB7,"0,00","0,01","0,07",12. April 2019,27. März 2020,"6,91","10.015,51","0,07",1,,,,,,
DE000CJ7MNC5,"0,00","0,01","0,07",18. April 2019,27. März 2020,"6,81","10.008,98","0,07",1,,,,,,
DE000CJ7MND3,"0,00","0,01","0,07",24. April 2019,27. März 2020,"6,71","10.017,87","0,07",1,,,,,,
DE000CJ7MNE1,"0,00","0,01","0,05",24. April 2019,27. März 2020,"5,42","10.020,29","0,05",1,,,,,,
DE000CJ7MNF8,"0,00","0,01","0,06",30. April 2019,27. März 2020,"6,45","10.020,17","0,06",1,,,,,,
DE000CJ7MNG6,"0,00","0,01","0,06",7. Mai 2019,27. März 2020,"6,47","10.018,79","0,06",1,,,,,,
DE000CJ7MNH4,"0,00","0,01","0,06",16. Mai 2019,27. März 2020,"6,35","10.018,67","0,06",1,,,,,,
DE000CJ7MNJ0,"0,00","0,01","0,06",21. Mai 2019,27. März 2020,"6,26","10.019,79","0,06",1,,,,,,
DE000CJ7MNK8,"0,00","0,01","0,06",30. Mai 2019,27. März 2020,"5,90","10.029,53","0,06",1,,,,,,
DE000CJ7MNL6,"0,00","0,01","0,06",31. Mai 2019,27. März 2020,"5,96","10.026,90","0,06",1,,,,,,
DE000CJ7MNM4,"0,00","0,01","0,06",6. Juni 2019,27. März 2020,"5,97","10.026,74","0,06",1,,,,,,
DE000CJ7MNN2,"0,00","0,01","0,06",6. Juni 2019,27. März 2020,"5,95","10.029,00","0,06",1,,,,,,
DE000CJ7MNP7,"0,00","0,01","0,06",5. Juni 2019,27. März 2020,"5,84","10.031,23","0,06",1,,,,,,
DE000CJ7MNQ5,"0,00","0,01","0,06",4. Juni 2019,27. März 2020,"5,86","10.047,85","0,06",1,,,,,,
DE000CJ7MNR3,"0,00","0,01","0,06",7. Juni 2019,27. März 2020,"5,85","10.030,86","0,06",1,,,,,,
DE000CJ7MNS1,"0,00","0,01","0,05",18. Juni 2019,27. März 2020,"4,55","10.023,58","0,05",1,,,,,,
DE000CJ7MNT9,"0,00","0,01","0,06",21. Juni 2019,27. März 2020,"5,65","10.010,54","0,06",1,,,,,,
DE000CJ7MNU7,"0,00","0,01","0,06",27. Juni 2019,27. März 2020,"5,54","10.019,81","0,06",1,,,,,,
DE000CJ7MNV5,"0,00","0,01","0,04",2. Juli 2019,27. März 2020,"4,36","10.006,94","0,04",1,,,,,,
DE000CJ7MNW3,"0,00","0,01","0,04",10. Juli 2019,27. März 2020,"4,23","10.011,51","0,04",1,,,,,,
DE000CJ7MNX1,"0,00","0,01","0,04",17. Juli 2019,27. März 2020,"4,16","10.010,30","0,04",1,,,,,,
DE000CJ7MNY9,"0,00","0,01","0,03",30. Juli 2019,27. März 2020,"3,21","10.009,10","0,03",1,,,,,,
DE000CJ7MNZ6,"0,00","0,01","0,04",6. August 2019,27. März 2020,"4,04","10.064,82","0,04",1,,,,,,
DE000CJ7MP02,"0,00","0,01","0,04",30. Mai 2019,27. März 2020,"3,95","10.257,40","0,04",3,,,,,,
DE000CJ7MP10,"0,00","0,01","0,05",4. Juni 2019,27. März 2020,"4,48","10.300,80","0,05",3,,,,,,
DE000CJ7MP28,"0,00","0,01","0,05",6. Juni 2019,27. März 2020,"4,73","10.246,10","0,05",3,,,,,,
DE000CJ7MP36,"0,00","0,01","0,04",6. Juni 2019,27. März 2020,"4,21","10.255,68","0,04",3,,,,,,
DE000CJ7MP44,"0,00","0,01","0,04",6. Juni 2019,27. März 2020,"4,03","10.265,18","0,04",3,,,,,,
DE000CJ7MP51,"0,00","0,01","0,05",12. Juni 2019,27. März 2020,"4,60","10.226,20","0,05",3,,,,,,
DE000CJ7MP69,"0,00","0,01","0,04",19. Juni 2019,27. März 2020,"3,74","10.189,77","0,04",3,,,,,,
DE000CJ7MP77,"0,00","0,01","0,04",25. Juni 2019,27. März 2020,"3,66","10.208,84","0,04",3,,,,,,
DE000CJ7MP85,"0,00","0,01","0,04",3. Juli 2019,27. März 2020,"4,28","10.148,54","0,04",3,,,,,,
DE000CJ7MP93,"0,00","0,01","0,04",9. Juli 2019,27. März 2020,"3,91","10.164,66","0,04",3,,,,,,
DE000CJ7MPA4,"0,00","0,01","0,04",28. Juni 2019,27. März 2020,"4,09","10.051,33","0,04",2,,,,,,
DE000CJ7MPB2,"0,00","0,01","0,05",2. Juli 2019,27. März 2020,"4,99","10.033,98","0,05",2,,,,,,
DE000CJ7MPC0,"0,00","0,01","0,04",10. Juli 2019,27. März 2020,"3,89","10.041,22","0,04",2,,,,,,
DE000CJ7MPD8,"0,00","0,01","0,05",17. Juli 2019,27. März 2020,"4,78","10.041,01","0,05",2,,,,,,
DE000CJ7MPE6,"0,00","0,01","0,04",26. Juli 2019,27. März 2020,"3,74","10.046,04","0,04",2,,,,,,
DE000CJ7MPF3,"0,00","0,01","0,05",9. August 2019,27. März 2020,"4,59","10.097,31","0,05",2,,,,,,
DE000CJ7MPG1,"0,00","0,01","0,04",10. September 2019,27. März 2020,"4,24","10.052,86","0,04",2,,,,,,
DE000CJ7MPH9,"0,00","0,01","0,04",17. September 2019,27. März 2020,"4,12","10.051,55","0,04",2,,,,,,
DE000CJ7MPJ5,"0,00","0,01","0,03",24. September 2019,27. März 2020,"3,20","10.054,38","0,03",2,,,,,,
DE000CJ7MPK3,"0,00","0,01","0,04",1. Oktober 2019,27. März 2020,"4,00","10.046,92","0,04",2,,,,,,
DE000CJ7MPL1,"0,00","0,01","0,03",5. Oktober 2019,27. März 2020,"2,97","10.078,39","0,03",2,,,,,,
DE000CJ7MPM9,"0,00","0,01","0,04",15. Oktober 2019,27. März 2020,"3,78","10.036,31","0,04",2,,,,,,
DE000CJ7MPN7,"0,00","0,01","0,06",28. März 2019,27. März 2020,"5,59","10.238,56","0,06",3,,,,,,
DE000CJ7MPP2,"0,00","0,01","0,06",28. März 2019,27. März 2020,"5,52","10.246,74","0,06",3,,,,,,
DE000CJ7MPQ0,"0,00","0,01","0,05",28. März 2019,27. März 2020,"4,60","10.255,89","0,05",3,,,,,,
DE000CJ7MPR8,"0,00","0,01","0,05",28. März 2019,27. März 2020,"5,24","10.263,93","0,05",3,,,,,,
DE000CJ7MPS6,"0,00","0,01","0,04",11. April 2019,27. März 2020,"4,37","10.193,88","0,04",3,,,,,,
DE000CJ7MPT4,"0,00","0,01","0,05",12. April 2019,27. März 2020,"4,48","10.195,96","0,05",3,,,,,,
DE000CJ7MPU2,"0,00","0,01","0,04",24. April 2019,27. März 2020,"4,22","10.165,81","0,04",3,,,,,,
DE000CJ7MPV0,"0,00","0,01","0,04",30. April 2019,27. März 2020,"4,15","10.158,01","0,04",3,,,,,,
DE000CJ7MPW8,"0,00","0,01","0,05",1. Mai 2019,27. März 2020,"5,09","10.157,24","0,05",3,,,,,,
DE000CJ7MPX6,"0,00","0,01","0,05",11. Mai 2019,27. März 2020,"4,94","10.187,17","0,05",3,,,,,,
DE000CJ7MPY4,"0,00","0,01","0,05",18. Mai 2019,27. März 2020,"4,51","10.172,45","0,05",3,,,,,,
