ISIN,ausstiegskosten,bezugsverhaeltnis,einstiegskosten,erstelldatum,gesamtkosten_0,relative_gesamtkosten_0,risikoklasse,gesamtkosten_1,relative_gesamtkosten_1,gesamtkosten_2,relative_gesamtkosten_2
DE000MF8NSK5,"0,00","0,01","0,05883",16.10.2019,"5,88","0,05883",1,,,,
DE000MF8NSL3,"0,00","0,01","0,05848",16.10.2019,"5,85","0,05848",1,,,,
DE000MF8NSM1,"0,00","0,01","0,05813",16.10.2019,"5,81","0,05813",1,,,,
DE000MF8NSN9,"0,00","0,01","0,05778",16.10.2019,"5,78","0,05778",1,,,,
DE000MF8NSP4,"0,00","0,01","0,05744",16.10.2019,"5,74","0,05744",1,,,,
DE000MF8NSQ2,"0,00","0,01","0,05711",16.10.2019,"5,71","0,05711",1,,,,
DE000MF8NSR0,"0,00","0,01","0,05678",16.10.2019,"5,68","0,05678",1,,,,
DE000MF8NSS8,"0,00","0,01","0,05645",16.10.2019,"5,64","0,05645",1,,,,
DE000MF8NST6,"0,00","0,01","0,05612",16.10.2019,"5,61","0,05612",1,,,,
DE000MF8NSU4,"0,00","0,01","0,0558",16.10.2019,"5,58","0,0558",1,,,,
DE000MF8NSV2,"0,00","0,01","0,05549",16.10.2019,"5,55","0,05549",1,,,,
DE000MF8NSW0,"0,00","0,01","0,05517",16.10.2019,"5,52","0,05517",1,,,,
DE000MF8NSX8,"0,00","0,01","0,05486",16.10.2019,"5,49","0,05486",1,,,,
DE000MF8NSY6,"0,00","0,01","0,05455",16.10.2019,"5,46","0,05455",1,,,,
DE000MF8NSZ3,"0,00","0,01","0,06982",16.10.2019,"6,98","0,06982",1,,,,
DE000MF8NT03,"0,00","0,01","0,05425",16.10.2019,"5,43","0,05425",1,,,,
DE000MF8NT11,"0,00","0,01","0,06946",16.10.2019,"6,95","0,06946",1,,,,
DE000MF8NT29,"0,00","0,01","0,05395",16.10.2019,"5,40","0,05395",1,,,,
DE000MF8NT37,"0,00","0,01","0,05366",16.10.2019,"5,37","0,05366",1,,,,
DE000MF8NT45,"0,00","0,01","0,0691",16.10.2019,"6,91","0,0691",1,,,,
DE000MF8NT52,"0,00","0,01","0,06875",16.10.2019,"6,87","0,06875",1,,,,
DE000MF8NT60,"0,00","0,01","0,05336",16.10.2019,"5,34","0,05336",1,,,,
DE000MF8NT78,"0,00","0,01","0,05307",16.10.2019,"5,31","0,05307",1,,,,
DE000MF8NT86,"0,00","0,01","0,0684",16.10.2019,"6,84","0,0684",1,,,,
DE000MF8NT94,"0,00","0,01","0,05278",16.10.2019,"5,28","0,05278",1,,,,
DE000MF8NTA4,"0,00","0,01","0,06807",16.10.2019,"6,81","0,06807",1,,,,
DE000MF8NTB2,"0,00","0,01","0,05132",14.10.2019,"5,13","0,05132",1,,,,
DE000MF8NTC0,"0,00","0,01","0,06774",16.10.2019,"6,77","0,06774",1,,,,
DE000MF8NTD8,"0,00","0,01","0,05222",16.10.2019,"5,22","0,05222",1,,,,
DE000MF8NTE6,"0,00","0,01","0,0674",16.10.2019,"6,74","0,0674",1,,,,
DE000MF8NTF3,"0,00","0,01","0,06707",16.10.2019,"6,71","0,06707",2,,,,
DE000MF8NTG1,"0,00","0,01","0,05077",16.10.2019,"5,08","0,05077",1,,,,
DE000MF8NTH9,"0,00","0,01","0,05167",16.10.2019,"5,17","0,05167",1,,,,
DE000MF8NTJ5,"0,00","0,01","0,06675",16.10.2019,"6,68","0,06675",2,,,,
DE000MF8NTK3,"0,00","0,01","0,06643",16.10.2019,"6,64","0,06643",2,,,,
DE000MF8NTL1,"0,00","0,01","0,05139",16.10.2019,"5,14","0,05139",1,,,,
DE000MF8NTM9,"0,00","0,01","0,06612",16.10.2019,"6,61","0,06612",2,,,,
DE000MF8NTN7,"0,00","0,01","0,05113",16.10.2019,"5,11","0,05113",1,,,,
DE000MF8NTP2,"0,00","0,01","0,06581",16.10.2019,"6,58","0,06581",2,,,,
DE000MF8NTQ0,"0,00","0,01","0,05086",16.10.2019,"5,09","0,05086",1,,,,
DE000MF8NTR8,"0,00","0,01","0,06551",16.10.2019,"6,55","0,06551",2,,,,
